Index,structure_start,structure,count
0,then,(then (once (agent_holds ?x) ) (hold-while (and (not (agent_holds ?x) ) (in_motion ?x) ) (touch ?x ?x) ) (once (and (in ?x ?x) (not (in_motion ?x) ) ) ) ) ),1
1,then,(then (hold (and (not (touch ?x ?x) ) (not (agent_holds ?x) ) ) ) (once (not (object_orientation ?x ?x) ) ) ) ),1
2,then,(then (once (and (agent_holds ?x) (adjacent ?x ?x) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ) ),9
3,then,(then (once (agent_holds ?x) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (not (in_motion ?x) ) ) ) ),12
4,then,(then (once (and (agent_holds ?x) (= (distance ?x ?x) 0) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ) ),1
5,then,(then (once (and (agent_holds ?x) (adjacent ?x ?x) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (not (in ?x ?x) ) ) ) ) ),1
6,then,(then (once (and (agent_holds ?x) (< (distance_side ?x ?x ?x) (distance_side ?x ?x ?x)) ) ) (hold-while (and (not (agent_holds ?x) ) (in_motion ?x) ) (on ?x ?x) ) (once (and (not (in_motion ?x) ) (< (distance_side ?x ?x ?x) (distance_side ?x ?x ?x)) ) ) ) ),1
7,then,(then (once (and (agent_holds ?x) (or (on ?x ?x) (exists (?x ?x - object_type) (and (adjacent ?x ?x) (adjacent ?x ?x) (opposite ?x ?x) ) ) ) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ) ),1
8,then,(then (once (and (agent_holds ?x) (or (on ?x ?x) (exists (?x ?x - object_type) (and (adjacent ?x ?x) (adjacent ?x ?x) (opposite ?x ?x) ) ) ) ) ) (hold-while (and (not (agent_holds ?x) ) (in_motion ?x) ) (touch ?x ?x) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ) ),1
9,then,(then (once (agent_holds ?x) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (on ?x ?x) ) ) ) ),1
10,then,(then (once (and (agent_holds ?x) (adjacent ?x ?x) (agent_crouches ) ) ) (hold-while (and (not (agent_holds ?x) ) (in_motion ?x) ) (touch ?x ?x) ) (once (and (in ?x ?x) (not (in_motion ?x) ) ) ) ) ),2
11,then,(then (once (and (on ?x ?x) (agent_holds ?x) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ) ),1
12,then,(then (once (and (agent_holds ?x) (adjacent ?x ?x) (on ?x ?x) (in ?x ?x) ) ) (hold-while (and (not (agent_holds ?x) ) (in_motion ?x) ) (or (touch ?x ?x) (exists (?x - object_type) (touch ?x ?x) ) ) (in_motion ?x) ) (once (not (in_motion ?x) ) ) ) ),1
13,then,(then (once (agent_holds ?x) ) (hold-while (and (not (agent_holds ?x) ) (in_motion ?x) ) (on ?x ?x) ) (once (and (in ?x ?x) (not (in_motion ?x) ) ) ) ) ),1
14,then,(then (once (and (agent_holds ?x) (< (distance ?x ?x) 0) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (in ?x ?x) (not (in_motion ?x) ) ) ) ) ),1
15,then,(then (once (and (agent_holds ?x) (< (distance ?x ?x) 0) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (on ?x ?x) (not (in_motion ?x) ) ) ) ) ),1
16,then,(then (once (and (in ?x ?x) (agent_holds ?x) ) ) (hold (and (in ?x ?x) (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (in ?x ?x) (touch ?x ?x) ) ) (hold (in_motion ?x) ) (once (not (in_motion ?x) ) ) ) ),1
17,then,(then (once (and (in ?x ?x) (agent_holds ?x) ) ) (hold-while (and (not (agent_holds ?x) ) (in ?x ?x) (or (agent_holds ?x) (and (not (agent_holds ?x) ) (in_motion ?x) ) ) ) (touch ?x ?x) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (not (in_motion ?x) ) ) ) ),1
18,then,(then (once (and (agent_holds ?x) (adjacent ?x ?x) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (on ?x ?x) ) ) ) ),2
19,then,(then (once (and (agent_holds ?x) (adjacent ?x ?x) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (on ?x ?x) (< (distance ?x ?x) 0) ) ) ) ),1
20,then,(then (once (and (agent_holds ?x) (adjacent ?x ?x) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (not (exists (?x - object_type) (in ?x ?x) ) ) (not (on ?x ?x) ) (not (exists (?x - object_type) (and (on ?x ?x) (< (distance ?x ?x) 0) ) ) ) ) ) ) ),1
21,then,(then (once (and (agent_holds ?x) (on ?x ?x) (rug_color_under ?x ?x) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ) ),2
22,then,(then (once (and (agent_holds ?x) (on ?x ?x) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (not (in_motion ?x) ) ) ) ),1
23,then,(then (once (agent_holds ?x) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ) ),3
24,then,(then (once (and (agent_holds ?x) (not (on ?x ?x) ) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (on ?x ?x) (touch ?x ?x) (rug_color_under ?x ?x) ) ) ) ),1
25,then,(then (once (and (agent_holds ?x) (not (on ?x ?x) ) ) ) (hold-while (and (not (agent_holds ?x) ) (in_motion ?x) (not (exists (?x - object_type) (touch ?x ?x) ) ) ) (above ?x ?x) ) (once (or (touch ?x ?x) (touch ?x ?x) ) ) ) ),1
26,then,(then (once (on ?x ?x) ) (hold (and (agent_holds ?x) (on ?x ?x) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ) ),1
27,then,(then (once (and (agent_holds ?x) (on ?x ?x) (in ?x ?x) ) ) (hold-while (and (not (agent_holds ?x) ) (in_motion ?x) ) (or (touch ?x ?x) (exists (?x - object_type) (touch ?x ?x) ) ) (in_motion ?x) ) (once (not (in_motion ?x) ) ) ) ),1
28,then,(then (once (agent_holds ?x) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) (not (exists (?x - object_type) (touch ?x ?x) ) ) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ) ),1
29,then,(then (once (agent_holds ?x) ) (hold-while (and (not (agent_holds ?x) ) (in_motion ?x) ) (touch ?x ?x) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ) ),1
30,then,(then (once (agent_holds ?x) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (not (in ?x ?x) ) ) ) ) ),1
31,then,(then (once (and (agent_holds ?x) (adjacent ?x ?x) (opposite ?x ?x) (adjacent ?x ?x) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ) ),1
32,then,(then (once (agent_holds ?x) ) (hold-while (and (not (agent_holds ?x) ) (in_motion ?x) ) (touch ?x ?x) ) (once (or (agent_holds ?x) (touch ?x ?x) ) ) ) ),1
33,then,(then (once (agent_holds ?x) ) (hold-while (and (not (agent_holds ?x) ) (in_motion ?x) ) (on ?x ?x) ) (once (and (not (in_motion ?x) ) (on ?x ?x) (rug_color_under ?x ?x) ) ) ) ),1
34,then,(then (once (and (not (agent_holds ?x) ) (not (in_motion ?x) ) (not (type ?x ?x) ) (> (distance ?x ?x) (distance ?x ?x)) ) ) (hold (or (agent_holds ?x) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (< (distance ?x ?x) (distance ?x ?x)) ) ) ) ),1
35,then,(then (once (agent_holds ?x) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) (not (exists (?x - object_type) (touch ?x ?x) ) ) ) ) (once (and (not (in_motion ?x) ) (on ?x ?x) ) ) ) ),1
36,then,(then (once (agent_holds ?x) ) (hold-while (and (not (agent_holds ?x) ) (in_motion ?x) ) (touch ?x ?x) ) (once (and (not (in_motion ?x) ) (on ?x ?x) ) ) ) ),1
37,then,(then (once (and (agent_holds ?x) (adjacent ?x ?x) (adjacent ?x ?x) (equal_z_position ?x ?x) ) ) (hold-while (and (in_motion ?x) (not (agent_holds ?x) ) ) (touch ?x ?x) ) (once (in_motion ?x) ) ) ),1
38,then,(then (once (and (agent_holds ?x) (adjacent ?x ?x) (adjacent ?x ?x) ) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (not (in_motion ?x) ) ) ) ),1
39,then,(then (once (and (agent_holds ?x) (faces ?x ?x) ) ) (hold-while (and (in_motion ?x) (not (agent_holds ?x) ) ) (touch ?x ?x) ) (once (and (not (in_motion ?x) ) (on ?x ?x) ) ) ) ),1
40,then,(then (once (and (agent_holds ?x) (faces ?x ?x) ) ) (hold-while (and (in_motion ?x) (not (agent_holds ?x) ) ) (touch ?x ?x) ) (once (and (touch ?x ?x) (not (agent_holds ?x) ) ) ) ) ),1
41,then,(then (once (and (agent_holds ?x) (not (on ?x ?x) ) ) ) (hold-while (and (in_motion ?x) (not (agent_holds ?x) ) ) (touch ?x ?x) ) (once (and (not (in_motion ?x) ) (on ?x ?x) (rug_color_under ?x ?x) ) ) ) ),1
42,then,(then (once (agent_holds ?x) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (and (not (in_motion ?x) ) (or (in ?x ?x) (on ?x ?x) ) ) ) ) ),1
43,then,(then (once (and (not (in_motion ?x) ) (not (type ?x ?x) ) (not (type ?x ?x) ) (not (type ?x ?x) ) ) ) (hold (in_motion ?x) ) (once (not (in_motion ?x) ) ) ) ),1
44,then,(then (once (and (adjacent ?x ?x) (adjacent ?x ?x) (agent_holds ?x) ) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ) ),1
45,then,(then (once (and (adjacent ?x ?x) (adjacent ?x ?x) (agent_holds ?x) ) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (not (in_motion ?x) ) ) ) ),1
46,then,(then (once (not (agent_holds ?x) ) ) (hold (or (agent_holds ?x) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ) ),1
47,then,(then (once (and (agent_holds ?x) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ) ),1
48,then,(then (once (and (on ?x ?x) (agent_holds ?x) ) ) (hold (and (on ?x ?x) (in_motion ?x) (not (agent_holds ?x) ) (not (exists (?x - object_type) (or (broken ?x) (in_motion ?x) ) ) ) ) ) (once (and (on ?x ?x) (on ?x ?x) (not (in_motion ?x) ) ) ) ) ),1
49,then,(then (once (agent_holds ?x) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (hold (in ?x ?x) ) (once (or (not (in ?x ?x) ) (game_over ) ) ) ) ),2
50,then,(then (once (not (agent_holds ?x) ) ) (hold (agent_holds ?x) ) (once (not (agent_holds ?x) ) ) ) ),1
51,then,(then (once (game_start ) ) (hold (not (agent_holds ?x) ) ) (hold (agent_holds ?x) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) (hold (not (agent_holds ?x) ) ) ) ),1
52,then,(then (once (game_start ) ) (hold (not (exists (?x - object_type) (and (in ?x ?x) (is_setup_object ?x) ) ) ) ) (once (agent_holds ?x) ) ) ),1
53,then,(then (once (and (in ?x ?x) (agent_holds ?x) (not (is_setup_object ?x) ) ) ) (hold-while (and (not (agent_holds ?x) ) (in ?x ?x) (or (agent_holds ?x) (and (not (agent_holds ?x) ) (in_motion ?x) ) ) ) (touch ?x ?x) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (not (in_motion ?x) ) ) ) ),2
54,then,(then (once (and (agent_holds ?x) (adjacent ?x ?x) (not (exists (?x - object_type) (= ?x ?x) ) ) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (on ?x ?x) ) ) ) ),1
55,then,(then (once (and (agent_holds ?x) (adjacent ?x ?x) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (not (on ?x ?x) ) ) ) ) ),1
56,then,(then (once (and (agent_holds ?x) (not (type ?x ?x) ) ) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (hold (in ?x ?x) ) (once (or (not (in ?x ?x) ) (game_over ) ) ) ) ),1
57,always,(always (not (agent_holds ?x) ) ) ),1
58,at-end,(at-end (in ?x ?x) ) ),5
59,at-end,(at-end (and (in ?x ?x) (on ?x ?x) ) ) ),1
60,at-end,(at-end (and (in ?x ?x) (not (exists (?x - object_type) (and (not (type ?x ?x) ) (touch ?x ?x) ) ) ) ) ) ),1
61,at-end,(at-end (and (in ?x ?x) (not (exists (?x - object_type) (on ?x ?x) ) ) (not (exists (?x - object_type) (and (not (type ?x ?x) ) (touch ?x ?x) ) ) ) ) ) ),1
62,at-end,(at-end (and (on ?x ?x) (on ?x ?x) (on ?x ?x) (on ?x ?x) ) ) ),1
63,at-end,(at-end (and (in ?x ?x ?x) ) ) ),1
64,at-end,(at-end (and (adjacent ?x ?x) (on ?x ?x) ) ) ),2
65,at-end,(at-end (and (in ?x ?x) ) ) ),2
66,at-end,(at-end (and (not (toggled_on ?x) ) ) ) ),1
67,at-end,(at-end (and (not (type ?x ?x) ) (on ?x ?x) ) ) ),1
68,at-end,(at-end (and (in ?x ?x) (not (open ?x) ) ) ) ),1
69,at-end,(at-end (on ?x ?x) ) ),5
70,at-end,(at-end (open ?x) ) ),1
71,at-end,(at-end (and (in ?x ?x) (adjacent ?x ?x) (adjacent ?x ?x) ) ) ),1
72,at-end,(at-end (and (on ?x ?x) (not (exists (?x - object_type) (on ?x ?x) ) ) ) ) ),2
73,at-end,(at-end (and (is_setup_object ?x) (not (is_setup_object ?x) ) (forall (?x ?x - object_type) (or (not (in ?x ?x) ) (not (in ?x ?x) ) (not (on ?x ?x) ) (exists (?x ?x - object_type) (and (in ?x ?x) (in ?x ?x) (on ?x ?x) (same_type ?x ?x) (same_type ?x ?x) ) ) ) ) ) ) ),1
74,at-end,(at-end (and (is_setup_object ?x) (in ?x ?x) (in ?x ?x) ) ) ),1
