Index,src_file,game_name,domain_name,all_variables_defined,all_variables_used,all_preferences_used,setup_objects_used,no_adjacent_once,starts_and_ends_once,variable_not_repeated,no_nested_logicals,pref_forall_correct,correct_predicate_arity
0,interactive-beta.pddl,6172feb1665491d1efbce164-0,medium-objects-room-v1,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
1,interactive-beta.pddl,5f77754ba932fb2c4ba181d8-2,many-objects-room-v1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,interactive-beta.pddl,614b603d4da88384282967a7-3,many-objects-room-v1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
3,interactive-beta.pddl,5bc79f652885710001a0e82a-5,few-objects-room-v1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
4,interactive-beta.pddl,614dec67f6eb129c3a77defd-6,medium-objects-room-v1,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0
5,interactive-beta.pddl,615b40bb6cdb0f1f6f291f45-8,few-objects-room-v1,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
6,interactive-beta.pddl,615452aaabb932ada88ef3ca-9,many-objects-room-v1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,interactive-beta.pddl,57aa430b4cda6e00018420e9-10,medium-objects-room-v1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
8,interactive-beta.pddl,5d29412ab711e9001ab74ece-11,many-objects-room-v1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
9,interactive-beta.pddl,613bb29f16252362f4dc11a3-12,medium-objects-room-v1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,interactive-beta.pddl,616e5ae706e970fe0aff99b6-13,many-objects-room-v1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,interactive-beta.pddl,609c15fd6888b88a23312c4-14,medium-objects-room-v1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
12,interactive-beta.pddl,5f5d6c3cbacc025bf0a03440-15,few-objects-room-v1,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0
13,interactive-beta.pddl,616e4f7a16145200573161a6-16,few-objects-room-v1,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0
14,interactive-beta.pddl,613e4bf960ca68f8de00e5e7-17,medium-objects-room-v1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
15,interactive-beta.pddl,60e93f64ec69ecdac3107555-19,medium-objects-room-v1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,interactive-beta.pddl,5e2df2855e01ef3e5d01ab58-20,medium-objects-room-v1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
17,interactive-beta.pddl,5c79bc94d454af00160e2eee-21,few-objects-room-v1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,interactive-beta.pddl,60d432ce6e413e7509dd4b78-22,medium-objects-room-v1,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
19,interactive-beta.pddl,61267978e96853d3b974ca53-23,few-objects-room-v1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
20,interactive-beta.pddl,5996d2256b939900012d9f22-24,few-objects-room-v1,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
21,interactive-beta.pddl,606e4eb2a56685e5593304cd-27,few-objects-room-v1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
22,interactive-beta.pddl,610aaf651f5e36d3a76b199f-28,few-objects-room-v1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,interactive-beta.pddl,5bb511c6689fc5000149c703-29,few-objects-room-v1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
24,interactive-beta.pddl,5b8c8e7d0c740e00019d55c3-31,few-objects-room-v1,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0
25,interactive-beta.pddl,56cb8858edf8da000b6df354-32,many-objects-room-v1,1.0,1.0,1.0,0.8333333333333334,1.0,0.75,1.0,1.0,1.0,1.0
26,interactive-beta.pddl,614e1599db14d8f3a5c1486a-33,many-objects-room-v1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
27,interactive-beta.pddl,615dd68523c38ecff40b29b4-35,few-objects-room-v1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
28,interactive-beta.pddl,5ef4c07dc8437809ba661613-36,few-objects-room-v1,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0
29,interactive-beta.pddl,5fa45dc96da3af0b7dcba9a8-37,many-objects-room-v1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
30,interactive-beta.pddl,616abb33ebe1d6112545f76d-38,medium-objects-room-v1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
31,interactive-beta.pddl,614fb15adc48d3f9ffcadd41-39,many-objects-room-v1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
32,interactive-beta.pddl,5c71bdec87f8cd0001b458f5-40,many-objects-room-v1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,interactive-beta.pddl,5f8d77f0b348950659f1919e-41,many-objects-room-v1,0.8461538461538461,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0
34,interactive-beta.pddl,5edc195a95d5090e1c3f91b-42,few-objects-room-v1,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
35,interactive-beta.pddl,617378aeffbba11d8971051c-43,medium-objects-room-v1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,interactive-beta.pddl,60e7044ddc2523fab6cbc0cd-45,many-objects-room-v1,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
37,interactive-beta.pddl,5d5b0dd7c032a2001ad7cf5d-46,few-objects-room-v1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,interactive-beta.pddl,5d470786da637a00014ba26f-47,many-objects-room-v1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
39,interactive-beta.pddl,61254c5a6facc8ed023a64de-48,medium-objects-room-v1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,interactive-beta.pddl,60ddfb3db6a71ad9ba75e387-49,many-objects-room-v1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
41,interactive-beta.pddl,5f3aee04e30eac7cb73b416e-50,medium-objects-room-v1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,interactive-beta.pddl,5ff4a242cbe069bc27d9278b-51,few-objects-room-v1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
43,interactive-beta.pddl,602d84f17cdd707e9caed37a-52,few-objects-room-v1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
