game_name,is_throwing,is_construction,difficulty,first_time_points
few-objects-2,1,0,2,10
few-objects-3,0,1,5,1
few-objects-4,1,0,2,14
few-objects-5,1,0,4,3
few-objects-7,1,0,1,5
few-objects-8,1,0,3,10
few-objects-9,1,0,1,30
few-objects-10,1,0,1,20
few-objects-12,1,0,3,6
few-objects-13,0,0,1,5
few-objects-14,0,0,3,3
few-objects-15,1,0,2,10
few-objects-16,1,0,3,30
few-objects-17,1,0,3,40
few-objects-18,1,1,5,30
few-objects-19,1,0,1,3
few-objects-20,1,0,1,4
few-objects-21,1,0,2,2
few-objects-23,1,0,2,70
few-objects-24,1,0,2,55
few-objects-25,0,1,4,5
few-objects-26,1,0,3,250
few-objects-27,0,1,1,6
few-objects-28,1,0,1,1
few-objects-31,1,1,5,3
medium-objects-2,1,0,1,7
medium-objects-3,1,0,4,4
medium-objects-4,0,1,3,7
medium-objects-5,0,1,3,10
medium-objects-7,1,0,2,38
medium-objects-8,1,0,2,10
medium-objects-9,1,0,1,30
medium-objects-10,1,0,2,90
medium-objects-11,0,1,1,12
medium-objects-12,1,0,2,6
medium-objects-14,1,0,2,1
medium-objects-15,1,0,3,3
medium-objects-16,1,0,2,100
medium-objects-17,1,0,3,0
medium-objects-18,0,1,2,120
medium-objects-20,1,0,2,6
medium-objects-21,1,0,3,10
medium-objects-23,1,0,2,50
medium-objects-24,1,0,3,80
medium-objects-27,1,0,3,10
medium-objects-31,0,0,5,10
many-objects-3,1,0,3,2
many-objects-4,0,0,5,75
many-objects-5,0,0,5,1.5
many-objects-7,1,0,3,18
many-objects-8,1,0,4,10
many-objects-9,1,0,2,15
many-objects-12,0,1,1,1
many-objects-14,1,0,3,2
many-objects-15,0,1,4,6
many-objects-16,1,0,3,10
many-objects-17,1,0,4,2
many-objects-20,1,0,4,7
many-objects-21,1,0,2,2
many-objects-22,1,0,3,65
many-objects-23,1,0,4,100
many-objects-24,1,0,4,430
many-objects-25,1,0,3,1000
many-objects-26,1,0,4,9
many-objects-27,1,0,3,8
many-objects-29,1,0,2,6
many-objects-30,0,1,3,30
5e2df2855e01ef3e5d01ab58,1,1,2,5
60e93f64ec69ecdac3107555,1,0,2,7
613e4bf960ca68f8de00e5e7,0,1,1,40
616e4f7a16145200573161a6,1,0,3,1
5f5d6c3cbacc025bf0a03440,1,1,2,6
609c15fd6888b88a23312c42,1,0,1,3
616e5ae706e970fe0aff99b6,1,0,3,6
613bb29f16252362f4dc11a3,1,0,4,1
5d29412ab711e9001ab74ece,0,1,4,4
57aa430b4cda6e00018420e9,1,0,2,4
615452aaabb932ada88ef3ca,1,0,1,0
615b40bb6cdb0f1f6f291f45,1,0,4,1
614dec67f6eb129c3a77defd,1,0,1,30
5bc79f652885710001a0e82a,1,0,1,1
614b603d4da88384282967a7,0,1,3,6
5f77754ba932fb2c4ba181d8,1,0,1,10
6172feb1665491d1efbce164,1,0,1,6
