,trace_id,arg_1_id,arg_2_id,overlap
0,YB9HWpd4rMWwS3P2mCVk-gameplay-attempt-1-rerecorded,Bed|-02.46|00.00|-00.57,SideTable|-01.52|00.00|+00.41,4321
1,YB9HWpd4rMWwS3P2mCVk-gameplay-attempt-1-rerecorded,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,678
2,YB9HWpd4rMWwS3P2mCVk-gameplay-attempt-1-rerecorded,Desk|+03.14|00.00|-01.41,Chair|+02.83|00.00|00.00,678
3,YB9HWpd4rMWwS3P2mCVk-gameplay-attempt-1-rerecorded,SideTable|-01.52|00.00|+00.41,Bed|-02.46|00.00|-00.57,4321
4,YB9HWpd4rMWwS3P2mCVk-preCreateGame-rerecorded,Bed|-02.46|00.00|-00.57,SideTable|-01.52|00.00|+00.41,1545
5,YB9HWpd4rMWwS3P2mCVk-preCreateGame-rerecorded,SideTable|-01.52|00.00|+00.41,Bed|-02.46|00.00|-00.57,1545
6,ZBcXIZbvTS3U4IBGk1zk-createGame-rerecorded,Bed|-02.46|00.00|-00.57,SideTable|-01.52|00.00|+00.41,962
7,ZBcXIZbvTS3U4IBGk1zk-createGame-rerecorded,SideTable|-01.52|00.00|+00.41,Bed|-02.46|00.00|-00.57,962
8,ZBcXIZbvTS3U4IBGk1zk-createGame-rerecorded,Bed|-02.46|00.00|-00.57,Beachball|-02.93|+00.17|-01.99,910
9,ZBcXIZbvTS3U4IBGk1zk-createGame-rerecorded,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,910
10,ZBcXIZbvTS3U4IBGk1zk-preCreateGame-rerecorded,Bed|-02.46|00.00|-00.57,SideTable|-01.52|00.00|+00.41,1539
11,ZBcXIZbvTS3U4IBGk1zk-preCreateGame-rerecorded,SideTable|-01.52|00.00|+00.41,Bed|-02.46|00.00|-00.57,1539
12,ZBcXIZbvTS3U4IBGk1zk-preCreateGame-rerecorded,Bed|-02.46|00.00|-00.57,Beachball|-02.93|+00.17|-01.99,669
13,ZBcXIZbvTS3U4IBGk1zk-preCreateGame-rerecorded,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,669
14,ZMqZkrMMB0PcsCeLhQqE-gameplay-attempt-1-rerecorded,Bed|-02.46|00.00|-00.57,SideTable|-01.52|00.00|+00.41,2272
15,ZMqZkrMMB0PcsCeLhQqE-gameplay-attempt-1-rerecorded,SideTable|-01.52|00.00|+00.41,Bed|-02.46|00.00|-00.57,2272
16,ZMqZkrMMB0PcsCeLhQqE-gameplay-attempt-1-rerecorded,Bed|-02.46|00.00|-00.57,Beachball|-02.93|+00.17|-01.99,2212
17,ZMqZkrMMB0PcsCeLhQqE-gameplay-attempt-1-rerecorded,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,2212
18,ZMqZkrMMB0PcsCeLhQqE-preCreateGame-rerecorded,SideTable|-01.52|00.00|+00.41,Bed|-02.46|00.00|-00.57,2279
19,ZMqZkrMMB0PcsCeLhQqE-preCreateGame-rerecorded,Bed|-02.46|00.00|-00.57,Beachball|-02.93|+00.17|-01.99,1041
20,ZMqZkrMMB0PcsCeLhQqE-preCreateGame-rerecorded,Beachball|-02.93|+00.17|-01.99,Bed|-02.46|00.00|-00.57,1041
21,ZMqZkrMMB0PcsCeLhQqE-preCreateGame-rerecorded,TeddyBear|-02.60|+00.60|-00.42,Chair|+02.73|00.00|-01.21,1094
22,ZMqZkrMMB0PcsCeLhQqE-preCreateGame-rerecorded,Chair|+02.73|00.00|-01.21,TeddyBear|-02.60|+00.60|-00.42,1094
23,ZMqZkrMMB0PcsCeLhQqE-preCreateGame-rerecorded,Bed|-02.46|00.00|-00.57,SideTable|-01.52|00.00|+00.41,2279
24,ZSRiFalssazyXG8Qui4j-gameplay-attempt-1-rerecorded,Bed|-02.46|00.00|-00.57,SideTable|-01.52|00.00|+00.41,2862
25,ZSRiFalssazyXG8Qui4j-gameplay-attempt-1-rerecorded,SideTable|-01.52|00.00|+00.41,Bed|-02.46|00.00|-00.57,2862
26,ZSRiFalssazyXG8Qui4j-preCreateGame-rerecorded,Dodgeball|+00.70|+01.11|-02.80,Dodgeball|+00.44|+01.13|-02.80,121
27,ZSRiFalssazyXG8Qui4j-preCreateGame-rerecorded,Dodgeball|+00.44|+01.13|-02.80,Dodgeball|+00.70|+01.11|-02.80,121
28,ZSRiFalssazyXG8Qui4j-preCreateGame-rerecorded,Dodgeball|+00.70|+01.11|-02.80,Dodgeball|+00.44|+01.13|-02.80,121
29,ZSRiFalssazyXG8Qui4j-preCreateGame-rerecorded,Dodgeball|+00.44|+01.13|-02.80,Dodgeball|+00.70|+01.11|-02.80,121
30,ZSRiFalssazyXG8Qui4j-preCreateGame-rerecorded,Dodgeball|+00.70|+01.11|-02.80,Dodgeball|+00.44|+01.13|-02.80,121
31,ZSRiFalssazyXG8Qui4j-preCreateGame-rerecorded,Dodgeball|+00.44|+01.13|-02.80,Dodgeball|+00.70|+01.11|-02.80,121
32,ZSRiFalssazyXG8Qui4j-preCreateGame-rerecorded,Dodgeball|+00.70|+01.11|-02.80,Dodgeball|+00.44|+01.13|-02.80,121
33,ZSRiFalssazyXG8Qui4j-preCreateGame-rerecorded,Dodgeball|+00.44|+01.13|-02.80,Dodgeball|+00.70|+01.11|-02.80,121
34,bPMm01GV1jVMlw7DIH89-freePlay-rerecorded,Bed|-02.46|00.00|-00.57,SideTable|-01.52|00.00|+00.41,282
35,bPMm01GV1jVMlw7DIH89-freePlay-rerecorded,SideTable|-01.52|00.00|+00.41,Bed|-02.46|00.00|-00.57,282
36,bPMm01GV1jVMlw7DIH89-preCreateGame-rerecorded,Bed|-02.46|00.00|-00.57,SideTable|-01.52|00.00|+00.41,666
37,bPMm01GV1jVMlw7DIH89-preCreateGame-rerecorded,SideTable|-01.52|00.00|+00.41,Bed|-02.46|00.00|-00.57,666
38,c4bea3VqKksZ7Rd5RdTO-gameplay-attempt-1-rerecorded,Bed|-02.46|00.00|-00.57,SideTable|-01.52|00.00|+00.41,1036
39,c4bea3VqKksZ7Rd5RdTO-gameplay-attempt-1-rerecorded,SideTable|-01.52|00.00|+00.41,Bed|-02.46|00.00|-00.57,1036
40,c4bea3VqKksZ7Rd5RdTO-gameplay-attempt-1-rerecorded,CurvedRamp|-03.05|00.00|-02.78,CubeBlock|-00.02|+00.28|-02.83,354
41,c4bea3VqKksZ7Rd5RdTO-gameplay-attempt-1-rerecorded,CurvedRamp|-03.05|00.00|-02.78,CubeBlock|-00.02|+00.28|-02.83,354
42,c4bea3VqKksZ7Rd5RdTO-gameplay-attempt-1-rerecorded,CubeBlock|-00.02|+00.28|-02.83,CurvedRamp|-03.05|00.00|-02.78,354
43,c4bea3VqKksZ7Rd5RdTO-gameplay-attempt-1-rerecorded,CubeBlock|-00.02|+00.28|-02.83,CurvedRamp|-03.05|00.00|-02.78,354
44,c4bea3VqKksZ7Rd5RdTO-gameplay-attempt-1-rerecorded,CurvedRamp|-03.05|00.00|-02.78,CubeBlock|-00.02|+00.28|-02.83,354
45,c4bea3VqKksZ7Rd5RdTO-preCreateGame-rerecorded,SideTable|-01.52|00.00|+00.41,Bed|-02.46|00.00|-00.57,944
46,c4bea3VqKksZ7Rd5RdTO-gameplay-attempt-1-rerecorded,CurvedRamp|-03.05|00.00|-02.78,CubeBlock|-00.02|+00.28|-02.83,354
47,c4bea3VqKksZ7Rd5RdTO-preCreateGame-rerecorded,Bed|-02.46|00.00|-00.57,SideTable|-01.52|00.00|+00.41,944
48,c4bea3VqKksZ7Rd5RdTO-gameplay-attempt-1-rerecorded,CubeBlock|-00.02|+00.28|-02.83,CurvedRamp|-03.05|00.00|-02.78,354
